CLAVE_CASILLA|CLAVE_ACTA|ID_ESTADO|ESTADO|ID_DISTRITO_LOCAL|DISTRITO_LOCAL|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|TOTAL_BOLETAS_SOBRANTES|TOTAL_PERSONAS_VOTARON|TOTAL_REP_PARTIDO_CI_VOTARON|TOTAL_VOTOS_SACADOS|PAN|PRI|PRD|PVEM|PT|MC|MORENA|MAS|CXQROO|FXMQROO|CAND_IND_1|C_PAN_PRD_CQROO|C_PAN_PRD|C_PAN_CQROO|C_PRD_CQROO|C_PVEM_PT_MORENA_FXMQROO|C_PVEM_PT_MORENA|C_PVEM_PT_FXMQROO|C_PVEM_MORENA_FXMQROO|C_PT_MORENA_FXMQROO|C_PVEM_PT|C_PVEM_MORENA|C_PVEM_FXMQROO|C_PT_MORENA|C_PT_FXMQROO|C_MORENA_FXMQROO|NO_REGISTRADOS|NULOS|TOTAL_VOTOS_ASENTADO|TOTAL_VOTOS_CALCULADO|LISTA_NOMINAL|REPRESENTANTES_PP_CI|OBSERVACIONES|CONTABILIZADA|MECANISMOS_TRASLADO|CODIGO_INTEGRIDAD|FECHA_HORA_ACOPIO|FECHA_HORA_CAPTURA|FECHA_HORA_VERIFICACION|ORIGEN|DIGITALIZACION|TIPO_DOCUMENTO
"=""230467B0100"""|230467B010002|23|QUINTANA ROO|"=""04"""|DISTRITO 04|"=""467"""|1|B|0|1|2|301|149|6|SIN DATO|11|1|1|47|2|17|55|0|2|2|-|0|0|0|0|0|1|0|0|0|1|1|0|0|0|0|0|8|149|149|433|6||1|I|9aa0ca7a4368b7fd64e1db7e5ca2b4ff7d460af203653b09530e7c5299654db8|2022-06-06 04:47:00|2022-06-06 04:55:30|2022-06-06 04:58:31|CATD|ESCANER|ACTA PREP
"=""230468B0100"""|230468B010002|23|QUINTANA ROO|"=""04"""|DISTRITO 04|"=""468"""|1|B|0|1|2|304|200|0|200|15|5|3|52|5|22|74|10|0|1|-|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|13|200|202|485|0||1|I|bdbc69880e95756ac18d187b6d858c3a9dbbab76f0bd7cbd30a213c0f388e1d7|2022-06-05 22:40:00|2022-06-06 00:58:52|2022-06-06 01:06:49|CATD|ESCANER|ACTA PREP
"=""230469B0100"""|230469B010002|23|QUINTANA ROO|"=""04"""|DISTRITO 04|"=""469"""|1|B|0|1|2|328|224|6|230|13|7|4|89|4|15|58|5|6|8|-|0|1|0|0|1|0|0|0|0|0|2|0|0|0|0|0|11|224|224|534|6||1|I|3fd49bd6589b4412e7de198afb3f883ce3ef8342634dc751ffe5241f0ad7bc44|2022-06-05 22:20:00|2022-06-05 22:51:33|2022-06-05 23:58:55|CATD|ESCANER|ACTA PREP
"=""230470B0100"""|230470B010002|23|QUINTANA ROO|"=""04"""|DISTRITO 04|"=""470"""|1|B|0|1|2|311|301|6|299|26|14|6|118|4|39|71|6|6|4|-|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|7|301|302|592|6|ALGUN DATO ILEGIBLE O SIN DATO|1|I|70f2c5d53bf43df4b69f7d51aafc41f4b68f7d9a97cf092c05ab0937c26551f0|2022-06-05 22:18:00|2022-06-05 22:46:26|2022-06-06 00:01:22|CATD|ESCANER|ACTA PREP
"=""230471B0100"""|230471B010002|23|QUINTANA ROO|"=""04"""|DISTRITO 04|"=""471"""|1|B|0|1|2|400|272|7|279|22|8|4|74|7|26|93|15|6|4|-|SIN DATO|2|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|3|SIN DATO|SIN DATO|SIN DATO|SIN DATO|1|SIN DATO|1|SIN DATO|13|279|279|659|7|ALGUN DATO ILEGIBLE O SIN DATO|1|I|b38a2877b56a78dd933638a175ea59b2c54c940e691f2324c1128125c910ad78|2022-06-05 22:43:00|2022-06-06 00:58:21|2022-06-06 01:08:28|CATD|ESCANER|ACTA PREP
"=""230472B0100"""|230472B010002|23|QUINTANA ROO|"=""04"""|DISTRITO 04|"=""472"""|1|B|0|2|2|479|0|5|284|20|9|5|97|7|31|64|10|3|8|-|2|0|3|0|0|0|0|0|0|1|3|0|0|0|0|0|21|284|284|743|5||1|I|a2156532f200d365cee782f11aa9ed00cab163db78bd2053a31b8acb40478151|2022-06-05 23:34:00|2022-06-06 01:27:20|2022-06-06 01:41:45|CATD|ESCANER|ACTA PREP
"=""230472C0100"""|230472C010002|23|QUINTANA ROO|"=""04"""|DISTRITO 04|"=""472"""|1|C|0|2|2|SIN DATO|271|5|276|18|15|5|92|10|23|76|8|4|7|-|SIN DATO|SIN DATO|SIN DATO|SIN DATO|2|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|260|743|5|ALGUN DATO ILEGIBLE O SIN DATO|1|I|cab33fbd40c072672ae5baad4c8d154bf473b586b6b04277d680238a7832d85d|2022-06-06 23:40:00|2022-06-06 03:35:17|2022-06-06 03:37:33|CATD|ESCANER|ACTA PREP
"=""230473B0100"""|230473B010002|23|QUINTANA ROO|"=""04"""|DISTRITO 04|"=""473"""|1|B|0|1|2|327|265|8|SIN DATO|13|9|4|135|3|14|62|5|3|1|-|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|2|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|252|580|8|ALGUN DATO ILEGIBLE O SIN DATO|1|I|c008c6af25ff39f24755002fe69631f79bed43c31625210d5457a72e31e6e5b3|2022-06-06 04:48:00|2022-06-06 04:55:41|2022-06-06 05:03:04|CATD|ESCANER|ACTA PREP
"=""230473C0100"""|230473C010002|23|QUINTANA ROO|"=""04"""|DISTRITO 04|"=""473"""|1|C|0|1|2|339|250|9|259|19|6|3|120|5|19|49|9|SIN DATO|SIN DATO|-|SIN DATO|2|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|2|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|20|259|254|579|9|ALGUN DATO ILEGIBLE O SIN DATO|1|I|6ddc62054b0394f959de30e301f0f5149bfbf205190b5ca18b63031e3472295f|2022-06-06 04:48:00|2022-06-06 04:58:23|2022-06-06 05:04:55|CATD|ESCANER|ACTA PREP
"=""230474B0100"""|230474B010002|23|QUINTANA ROO|"=""04"""|DISTRITO 04|"=""474"""|1|B|0|1|2|434|278|6|284|19|11|5|101|4|22|63|15|6|6|-|1|2|0|0|1|4|0|0|0|0|1|0|1|0|0|0|22|284|284|697|6||1|I|b84a572b8ad48c2101a32a8c28e620f63895be021d3107a20e0a4b3c91f7cb78|2022-06-05 22:12:06|2022-06-05 22:27:05|2022-06-06 00:33:02|CASILLA|MOVIL|ACTA PREP
